source_district,school,school_cleaned,my_county,confidence,orig_evidence,poll_loc,poll_eds,poll_confirm,gaz_loc,gaz_lds,gaz_confirm,verdict,notes
Auckland,Piarere,Piarere,Matamata County,Low,KG: Piarere near Cambridge/Matamata border; Matamata County,,,,piarere,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Piha (6) and Whatipu (7),Piha and Whatipu,Waitemata County,High,"small_cities: Piha, Waitemata, 137",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Pollock,Pollock,Franklin County,High,Polling: Franklin ED lists Pollock Settlement,,,,pollok,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Ponga,Ponga,Franklin County,High,Polling: Franklin ED lists Ponga,ponga,Franklin,Franklin,ponga,North Auckland,,CONFIRM,Polling ED 'Franklin' confirms county
Auckland,Ponui,Ponui,Franklin County,Low,KG: Ponui Island in Firth of Thames; Franklin County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Puahue,Puahue,Waitomo County,Low,KG: Puahue near Otorohanga; Waitomo County,,,,puahue,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Pukekawa,Pukekawa,Waikato County,Medium,KG: Pukekawa on Waikato River near Meremere; Waikato County,,,,pukekawa,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Pukemiro Colleries,Pukemiro Colleries,Raglan County,High,"small_cities: Pukemiro, Raglan, 223",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Punakitere,Punakitere,Hokianga County,Medium,KG: Punakitere near Rawene; Hokianga County,,,,punakitere,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Purua No.1,Purua No.1,Whangarei County,Medium,KG: Purua in Whangarei district; Whangarei County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Putake (7) and Waitomo Caves (6),Putake and Waitomo Caves,Waitomo County,High,KG: Waitomo Caves in Waitomo County; Putake same area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Raglan,Raglan,Raglan County,High,Polling: Raglan ED lists Courthouse Raglan; Raglan County,raglan,Raglan,Raglan,raglan,South Auckland,South Auckland,CONFIRM,Polling ED 'Raglan' confirms county
Auckland,Rangiahua (24) and Upper Waihou (19),Rangiahua and Upper Waihou,Hokianga County,High,"small_cities: Rangiahua, Hokianga, 119",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Rangitoto No.2,Rangitoto No.2,Waitemata County,Low,KG: probable Rangitoto Island area; Waitemata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Rotokakahi (12) and Salt Springs (9),Rotokakahi and Salt Springs,Rotorua County,High,KG: Rotokakahi (Lake Green) near Rotorua; Rotorua County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Rotokauri,Rotokauri,Waikato County,Medium,KG: Rotokauri near Hamilton; Waikato County,,,,rotokauri,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Rotorua Island,Rotorua Island,Rotorua County,Low,KG: island on Lake Rotorua (Mokoia Island); Rotorua County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Ruatangata East,Ruatangata East,Whangarei County,High,Polling: Marsden (Whangarei) ED lists Ruatangata West; same area,,,,ruatangata west,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Ruatangata West,Ruatangata West,Whangarei County,High,"small_cities: Ruatangata, Whangarei, 170",,,,ruatangata west,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Stanley Bay,Stanley Bay,Waitemata County,Medium,KG: Stanley Bay on North Shore near Devonport; not in CB as separate Borough,,,,stanley bay,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Tangitu,Tangitu,Ohura County,Medium,Polling: Taumarunui ED lists Tangitu; Ohura County area,,,,tangitu,Taranaki,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Tangowahine Valley,Tangowahine Valley,Hobson County,High,same area as Tangowahine; Hobson County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Taotaoroa No.1,Taotaoroa No.1,Matamata County,Medium,KG: Taotaoroa near Matamata; Matamata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Tapapa,Tapapa,Matamata County,Medium,KG: Tapapa near Matamata; Matamata County,,,,tapapa,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Tapu,Tapu,Thames County,High,Polling: Thames ED lists Tapu,tapu,Thames,Thames,tapu,South Auckland,South Auckland,CONFIRM,Polling ED 'Thames' confirms county
Auckland,Tapuhi,Tapuhi,Bay of Islands County,High,Polling: Bay of Islands ED lists Tapuhi,tapuhi,Bay Of Islands,Bay Of Islands,tapuhi,North Auckland,,CONFIRM,Polling ED 'Bay Of Islands' confirms county
Auckland,Tauhei No.1,Tauhei No.1,Piako County,High,"small_cities: Tauhei, Piako, 243",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Tauhei No.2,Tauhei No.2,Piako County,High,"small_cities: Tauhei, Piako, 243",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Tauraroa,Tauraroa,Otamatea County,Medium,KG: Tauraroa near Maungaturoto; Otamatea County,,,,tauraroa,North Auckland | South Auckland,South Auckland,CONFIRM,Gazetteer land district 'North Auckland | South Auckland' consistent with district
Auckland,Te Akau,Te Akau,Raglan County,Medium,KG: Te Akau near Raglan; Raglan County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Te Aroha West,Te Aroha West,Matamata County,High,KG: Te Aroha West in rural Matamata County surrounding Te Aroha Borough,te aroha west,Taumarunui,,te aroha west,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Te Hihi,Te Hihi,Franklin County,Medium,KG: Te Hihi near Waiuku; Franklin County,,,,te hihi,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Te Hoe,Te Hoe,Waikato County,Medium,Polling: Waikato ED lists Te Hoe (Public Hall),,,,te hoe,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Te Pahu,Te Pahu,Waipa County,Medium,KG: Te Pahu near Whatawhata; Waipa County,,,,te pahu,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Te Papapa,Te Papapa,Eden County,Medium,KG: Te Papapa near Onehunga; Eden County suburbs,,,,te papapa,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Te Pua,Te Pua,Hokianga County,Low,KG: Te Pua in Hokianga area; Hokianga County,te tua,Wallace,,te pua,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Te Puke,Te Puke,Tauranga County,High,KG: Te Puke in Bay of Plenty; Tauranga County,te puke,Taumarunui,,te puke,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Te Puke No.2,Te Puke No.2,Tauranga County,High,same area as Te Puke; Tauranga County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Te Puna,Te Puna,Tauranga County,Medium,KG: Te Puna near Tauranga; Tauranga County,,,,te puna,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Te Rahu,Te Rahu,Waitomo County,Medium,KG: Te Rahu near Otorohanga; Waitomo County,,,,te rahu,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Te Rauamoa,Te Rauamoa,Waitomo County,Medium,Polling: Taumarunui ED lists Te Rauamoa; Waitomo County,te rauamoa,Bay Of Plenty,,te rauamoa,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Tererenga (10) and Whangapoua (11),Tererenga and Whangapoua,Coromandel County,High,Polling: Thames ED lists Whangapoua; Coromandel Peninsula,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Te Uku,Te Uku,Raglan County,Medium,KG: Te Uku near Raglan; Raglan County,,,,te uku,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Thames North,Thames North,Thames County,Medium,KG: north of Thames Borough; Thames County,,,,thames north,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Thornton,Thornton,Whakatane County,Medium,KG: Thornton near Whakatane; Whakatane County,,,,thornton,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Ti Point,Ti Point,Rodney County,Medium,KG: Ti Point near Leigh on Rodney coast; Rodney County,,,,tī point,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Titoki (22) and Wharekohe (16),Titoki and Wharekohe,Whangarei County,High,"small_cities: Titoki, Whangarei, 110",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Tuakau,Tuakau,Franklin County,High,KG: Tuakau on Waikato River; Franklin County,tuakau,Raglan,,tuakau,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Tuhikaramea,Tuhikaramea,Waikato County,Medium,KG: Tuhikaramea near Hamilton; Waikato County,,,,tuhikaramea,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Upper Waiwera,Upper Waiwera,Waitemata County,High,"small_cities: Waiwera, Waitemata, 213; same area",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waikiekie East (17) and Waikiekie West (29),Waikiekie East and Waikiekie West,Whangarei County,High,"small_cities: Waikiekie, Whangarei, 190",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waimai (6) and Waingaro (9),Waimai and Waingaro,Raglan County,High,"small_cities: Waingaro, Raglan, 138; same area",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waimamaku Valley,Waimamaku Valley,Hokianga County,High,"small_cities: Waimamaku, Hokianga, 174",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waimatenui,Waimatenui,Bay of Islands County,Low,KG: near Waimate North; Bay of Islands County,waimate,Temuka,,waimatenui,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Waiotahi Valley,Waiotahi Valley,Opotiki County,High,"small_cities: Waiotahi, Opotiki, 139; same area",,,,waiotahi valley,Gisborne,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waiotemarama (18) and Weke-weka (17),Waiotemarama and Weke-weka,Hokianga County,High,Polling: Bay of Islands ED lists Waiotemarama,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waipari (18) and Wharepuhunga (18),Waipari and Wharepuhunga,Waipa County,Medium,KG: Wharepuhunga near Kihikihi/Te Awamutu = Waipa County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Waipu Cave,Waipu Cave,Whangarei County,High,"small_cities: Waipu, Whangarei, 328; cave locality nearby",,,,waipu caves,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Waipu North,Waipu North,Whangarei County,High,same area as Waipu; Whangarei County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Waipu Upper,Waipu Upper,Whangarei County,High,same area as Waipu; Whangarei County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Waitakaruru,Waitakaruru,Thames County,High,Polling: Thames ED lists Waitakaruru (Pinchess & Bird's Shed),waitakaruru,Thames,Thames,waitakaruru,South Auckland,South Auckland,CONFIRM,Polling ED 'Thames' confirms county
Auckland,Waitangi,Waitangi,Bay of Islands County,High,KG: Waitangi Treaty Grounds; Bay of Islands County,waitangi,Westland,,waitangi,North Auckland | Wellington,,CONFIRM,KG evidence identifies location and county
Auckland,Waitomo Valley Road (12) and Te Rau Mauku (13),Waitomo Valley Road and Te Rau Mauku,Waitomo County,High,KG: Waitomo Valley; Waitomo County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Wardville,Wardville,Piako County,Low,KG: Wardville near Morrinsville; Piako County,,,,wardville,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Warkworth,Warkworth,Rodney County,High,KG: Warkworth in Rodney County; not in CB,warkworth,Marsden,,warkworth,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Wayby,Wayby,Rodney County,Medium,KG: Wayby near Wellsford; Rodney County,,,,wayby,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Weymouth,Weymouth,Franklin County,Medium,Polling: Franklin ED lists Weymouth (Post Town Manurewa),weymouth,Franklin,Franklin,weymouth,North Auckland,,CONFIRM,Polling ED 'Franklin' confirms county
Auckland,Whananaki,Whananaki,Whangarei County,High,KG: Whananaki near Ngunguru; Whangarei County,,,,whananaki,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Whangarei Heads (42) and side school (14),Whangarei Heads,Whangarei County,High,KG: Whangarei Heads outside Borough; Whangarei County,,,,whangārei heads,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Whangaroa North,Whangaroa North,Whangaroa County,High,Polling: Bay of Islands ED lists Whangaroa (Courthouse),,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Wharehine,Wharehine,Hokianga County,Medium,KG: Wharehine near Rawene; Hokianga County,,,,wharehine,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Whitford No.1,Whitford No.1,Manukau County,High,"small_cities: Whitford, Manukau, 265",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Whitford No.2,Whitford No.2,Manukau County,High,"small_cities: Whitford, Manukau, 265",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Canterbury,Adair,Adair,Levels County,High,"small_cities: Adair, Levels, 103",adair,Timaru,Timaru,adair,Canterbury,Canterbury,CONFIRM,Polling ED 'Timaru' confirms county
Canterbury,Amberly,Amberly,Kowai County,High,KG: Amberley in Kowai County; file spells Amberly,amberley,Hurunut,,amberley,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Arahura Road,Arahura Road,Westland County,High,KG: Arahura on Westland coast near Hokitika; Westland County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Aratika,Aratika,Grey County,Medium,railway file: Aratika on Greymouth–Otira line; Grey County,aratika,Westland,,aratika,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Ashburton Forks,Ashburton Forks,Ashburton County,Medium,KG: Ashburton Forks in Ashburton County rural area,,,,ashburton forks,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Ashley Gorge,Ashley Gorge,Ashley County,Medium,KG: Ashley Gorge on Ashley River; Ashley County,,,,ashley gorge,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Ashton,Ashton,Ashburton County,Low,KG: Ashton near Ashburton; Ashburton County,,,,ashton,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Ashwick Flat,Ashwick Flat,Mackenzie County,Medium,KG: Ashwick Flat near Fairlie; Mackenzie County,,,,ashwick flat,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Ataahua,Ataahua,Geraldine County,Low,KG: Ataahua near Geraldine area; Geraldine County,ataahura,Ellesmere,,ataahua,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Barr Hill,Barr Hill,Malvern County,Low,KG: Barr Hill in Malvern County area,barrhill,Selwyn,,barrhill,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Barrytown,Barrytown,Grey County,High,KG: Barrytown on West Coast north of Greymouth; Grey County,barrytown,Grey,Grey,barrytown,Westland,Westland,CONFIRM,Polling ED 'Grey' confirms county
Canterbury,Big River,Big River,Inangahua County,Medium,KG: Big River near Reefton; Inangahua County,big river,Grey,,big river,Nelson,,CONFIRM,KG evidence identifies location and county
Canterbury,Birdling's Flat,Birdlings Flat,Ellesmere County,Medium,KG: Birdling's Flat on Lake Ellesmere coast; Ellesmere County,,,,birdlings flat,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Boddytown,Boddytown,Grey County,Medium,KG: Boddytown near Greymouth; Grey County,,,,boddytown,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Broadfield,Broadfield,Paparua County,Medium,KG: Broadfield near Rolleston; Paparua County,,,,broadfield,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Broomfield,Broomfield,Levels County,Low,KG: Broomfield near Timaru; Levels County,,,,broomfield,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Bruce Bay,Bruce Bay,Westland County,High,KG: Bruce Bay on South Westland coast; Westland County,bruce bay,Westland,Westland,bruce bay,Westland,Westland,CONFIRM,Polling ED 'Westland' confirms county
Canterbury,Callaghan's,Callaghans,Selwyn County,Medium,KG: Callaghan's near Lake Coleridge; Selwyn County,,,,callaghans,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Calrleton,Calrleton,Eyre County,Medium,KG: Carleton near Kaiapoi; Eyre County; file spells Calrleton,carleton,Kaiapot,,carleton,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Charing Cross,Charing Cross,Paparua County,Medium,Polling: Riccarton ED lists Charing Cross; Paparua County,,,,charing cross,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Claremont,Claremont,Malvern County,Low,KG: Claremont near Malvern; Malvern County,,,,claremont,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Cook's River,Cooks River,Westland County,Low,KG: Cook's River near Hokitika; Westland County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Cooper's Creek,Coopers Creek,Ashburton County,Low,KG: Cooper's Creek near Methven; Ashburton County,,,,coopers creek,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Dobson,Dobson,Grey County,High,KG: Dobson near Greymouth; Grey County,,,,dobson,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Dromore,Dromore,Ashburton County,Medium,KG: Dromore near Methven; Ashburton County,dromore,Selwyn,,dromore,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Dunganville (7) andd Marsden (4),Dunganville andd Marsden,Cheviot County,Low,KG: Dunganville in north Canterbury; Cheviot County area,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Eyreton West,Eyreton West,Eyre County,High,same area as Eyreton; Eyre County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Fairton,Fairton,Ashburton County,Medium,KG: Fairton near Ashburton; Ashburton County,fairton,Selwyn,,fairton,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Four Peaks,Four Peaks,Geraldine County,Low,KG: Four Peaks near Geraldine; Geraldine County,,,,four peaks,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,French Farm,French Farm,Akaroa County,Low,KG: French Farm near Akaroa; Akaroa County,,,,french farm,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Glen Kowhai,Glen Kowhai,Oxford County,Low,KG: Glen Kowhai near Oxford; Oxford County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Goldsborough,Goldsborough,Westland County,High,KG: Goldsborough near Hokitika; Westland County,goldsborough,Westland,Westland,,,,CONFIRM,Polling ED 'Westland' confirms county
Canterbury,Governor's Bay,Governors Bay,Mt Herbert County,Medium,KG: Governor's Bay on Banks Peninsula; Mt Herbert County,governor’s bay,Lyitelion,,governors bay,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Greta Valley,Greta Valley,Cheviot County,Medium,KG: Greta Valley in north Canterbury; Cheviot County,,,,greta valley,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Hanmer Plains,Hanmer Plains,Amuri County,High,"small_cities: Hanmer, Amuri, 167",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Canterbury,Hannaton,Hannaton,Malvern County,Low,KG: Hannaton near Darfield; Malvern County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Hatters,Hatters,Grey County,Low,KG: Hatters near Greymouth; Grey County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Hazelburn,Hazelburn,Geraldine County,Medium,KG: Hazelburn near Geraldine; Geraldine County,hazelburn,Temuka,Temuka,,,,CONFIRM,Polling ED 'Temuka' confirms county
Canterbury,Homebush,Homebush,Ashburton County,Low,KG: Homebush near Methven; Ashburton County,,,,homebush,Canterbury | Wellington,Canterbury,CONFIRM,Gazetteer land district 'Canterbury | Wellington' consistent with district
Canterbury,Hook Bush,Hook Bush,Waimate County,Medium,same area as Hook; Waimate County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Horsley Downs,Horsley Downs,Cheviot County,Medium,KG: Horsley Downs in north Canterbury; Cheviot County,,,,horsley down,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Humphrey's,Humphreys,Westland County,High,"small_cities: Humphrey's Gully, Westland, 105",humphrey’s,Westland,Westland,humphreys,Westland,Westland,CONFIRM,Polling ED 'Westland' confirms county
Canterbury,Hundalee,Hundalee,Cheviot County,Medium,KG: Hundalee near Gore Bay; Cheviot County,,,,hundalee,Marlborough,,CONFIRM,KG evidence identifies location and county
Canterbury,Huntingdon,Huntingdon,Ashburton County,Medium,KG: Huntingdon near Methven; Ashburton County,,,,huntingdon,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Hurunui,Hurunui,Amuri County,Low,KG: Hurunui River area; Amuri County,,,,hurunui,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Ikawai,Ikawai,Waimate County,High,Polling: Waitaki ED lists Ikawai (Post-office) — in Waimate County context,,,,ikawai,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Inchbonnie,Inchbonnie,Grey County,High,KG: Inchbonnie near Lake Brunner; Grey County,,,,inchbonnie,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Jack's Mill,Jacks Mill,Grey County,Medium,KG: Jack's Mill near Greymouth; Grey County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Jackson,Jackson,Westland County,High,Polling: Westland ED lists Jackson's (Public School),jackson’s,Westland,Westland,jacksons,Westland,Westland,CONFIRM,Polling ED 'Westland' confirms county
Canterbury,Kaikoura Surburban,Kaikoura Surburban,Kaikoura County,High,KG: Kaikoura Suburban outside Kaikoura Town District; Kaikoura County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Kaikoura Town District High School Primary (94) secondary (9),Kaikoura Town,Kaikoura County,High,KG: Kaikoura Town District (not a Borough); Kaikoura County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Kakahu Bush,Kakahu Bush,Geraldine County,High,"small_cities: Kakahu, Geraldine, 156",,,,kakahu bush,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Kohika,Kohika,Westland County,Low,KG: Kohika near Hokitika; Westland County,,,,kohika,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Kokatahi Lower,Kokatahi Lower,Westland County,High,"small_cities: Kokatahi, Westland, 184",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Canterbury,Kokatahi Upper,Kokatahi Upper,Westland County,High,same area as Kokatahi Lower; Westland County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Kokiri,Kokiri,Grey County,High,KG: Kokiri near Greymouth; Grey County,kokiri,Westland,,kokiri,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Kowhai Bush,Kowhai Bush,Malvern County,Low,KG: Kowhai Bush in Malvern County area,,,,kowai bush,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Kumara Junction,Kumara Junction,Westland County,High,KG: Kumara Junction near Kumara Borough; Westland County,,,,kumara junction,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,La Fontaine,La Fontaine,Levels County,Low,KG: La Fontaine near Timaru; Levels County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Le Bon's Bay,Le Bons Bay,Akaroa County,High,"small_cities: Le Bon's Bay, Akaroa, 140",le bon’s bay,Lyitelion,,le bons bay,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Loburn North,Loburn North,Ashley County,High,same area as Loburn; Ashley County,,,,loburn north,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Lyalldale,Lyalldale,Amuri County,Low,KG: Lyalldale in north Canterbury; Amuri County,,,,lyalldale,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Lynton Downs,Lynton Downs,Mackenzie County,Low,KG: Lynton Downs in Mackenzie County area,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Mahitahi,Mahitahi,Westland County,High,KG: Mahitahi on South Westland coast; Westland County,,,,mahitahi,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Mananui,Mananui,Westland County,Low,KG: Mananui near Hokitika; Westland County,mananui,Waimarino,,mananui,Westland,Westland,CONFIRM,Gazetteer land district 'Westland' consistent with district
Canterbury,Mason's Flat,Masons Flat,Grey County,Low,KG: Mason's Flat on West Coast; Grey County,,,,masons flat,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Mead,Mead,Ashburton County,Low,KG: Mead near Rakaia; Ashburton County,,,,mead,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
Canterbury,Mikonui,Mikonui,Westland County,Medium,KG: Mikonui near Hari Hari; Westland County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Milford,Milford,Levels County,Low,KG: Milford near Temuka; Levels County,,,,milford,Canterbury | North Auckland,Canterbury,CONFIRM,Gazetteer land district 'Canterbury | North Auckland' consistent with district
Canterbury,Moana,Moana,Grey County,High,railway file: Moana on Greymouth–Otira line; Grey County,moana,Westland,,moana,Nelson | Westland,Westland,CONFIRM,Gazetteer land district 'Nelson | Westland' consistent with district
Canterbury,Moonlight,Moonlight,Westland County,Medium,KG: Moonlight near old Hokitika goldfields; Westland County,moonlight,Otago Central,,moonlight,Otago,,CONFIRM,KG evidence identifies location and county
Canterbury,Mount Grey Downs,Mount Grey Downs,Ashley County,Low,KG: Mount Grey near Rangiora; Ashley County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Okarito,Okarito,Westland County,High,Polling: Westland ED lists Okarito (Courthouse),okarito,Westland,Westland,okarito,Westland,Westland,CONFIRM,Polling ED 'Westland' confirms county
Canterbury,Okarito Forks,Okarito Forks,Westland County,High,same area as Okarito; Westland County,,,,,,,CONFIRM,KG evidence identifies location and county
Canterbury,Okuku,Okuku,Ashley County,Low,KG: Okuku near Rangiora; Ashley County,,,,okuku,Canterbury,Canterbury,CONFIRM,Gazetteer land district 'Canterbury' consistent with district
