geo_unit,s1_c0,s2_c0,s2_c1,s3_c0,s3_c1,s3_c2,s4_c0,s4_c1,s4_c2,s4_c3,s5_c0,s5_c1,s5_c2,s5_c3,s5_c4,s6_c0,s6_c1,s6_c2,s6_c3,s6_c4,s6_c5,s7_c0,s7_c1,s7_c2,s7_c3,s7_c4,s7_c5,s7_c6,s8_c0,s8_c1,s8_c2,s8_c3,s8_c4,s8_c5,s8_c6,s8_c7,s9_c0,s9_c1,s9_c2,s9_c3,s9_c4,s9_c5,s9_c6,s9_c7,s9_c8,s10_c0,s10_c1,s10_c2,s10_c3,s10_c4,s10_c5,s10_c6,s10_c7,s10_c8,s10_c9,s11p_c0,s11p_c1,s11p_c2,s11p_c3,s11p_c4,s11p_c5,s11p_c6,s11p_c7,s11p_c8,s11p_c9,s11p_c10
CT00097,23,26,8,29,8,9,30,9,9,7,26,8,8,6,4,19,6,6,4,3,2,13,4,4,3,2,2,1,8,2,2,2,1,1,1,0,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
CT00098,126,144,42,157,46,47,163,48,48,38,141,41,42,33,24,103,31,31,24,18,12,70,21,21,16,12,8,6,44,13,13,10,8,5,4,3,26,8,8,6,4,3,2,2,1,15,4,5,4,3,2,1,1,1,0,15,4,4,3,3,2,1,1,1,0,1
CT00099,54,62,18,67,20,20,70,21,21,16,60,18,18,14,10,44,13,13,10,8,5,30,9,9,7,5,4,3,19,6,6,4,3,2,2,1,11,3,3,3,2,1,1,1,0,7,2,2,2,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00100,68,78,23,85,25,25,88,26,26,21,76,22,23,18,13,56,16,17,13,9,7,38,11,11,9,6,4,3,24,7,7,6,4,3,2,1,14,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
CT00101,220,250,74,273,80,81,283,84,84,66,245,72,73,57,42,180,53,54,42,31,21,121,36,36,28,21,14,10,77,23,23,18,13,9,7,5,46,13,14,11,8,5,4,3,2,27,8,8,6,5,3,2,2,1,1,26,8,8,6,4,3,2,2,1,1,1
CT00102,52,59,18,65,19,19,67,20,20,16,58,17,17,14,10,43,13,13,10,7,5,29,8,9,7,5,3,2,18,5,5,4,3,2,2,1,11,3,3,3,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00103,120,136,40,148,44,44,154,45,46,36,133,39,40,31,23,98,29,29,23,17,12,66,19,20,15,11,8,6,42,12,12,10,7,5,4,2,25,7,7,6,4,3,2,1,1,14,4,4,3,2,2,1,1,1,0,14,4,4,3,2,2,1,1,1,0,1
CT00104,38,43,13,47,14,14,49,14,14,11,42,12,12,10,7,31,9,9,7,5,4,21,6,6,5,4,2,2,13,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,5,1,1,1,1,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0
CT00105,145,165,49,180,53,54,187,55,56,44,161,48,48,38,27,119,35,35,28,20,14,80,24,24,19,14,10,7,51,15,15,12,9,6,4,3,30,9,9,7,5,4,3,2,1,17,5,5,4,3,2,1,1,1,0,17,5,5,4,3,2,1,1,1,0,1
CT00106,125,142,42,155,46,46,161,48,48,38,139,41,41,32,24,102,30,30,24,17,12,69,20,20,16,12,8,6,44,13,13,10,7,5,4,3,26,8,8,6,4,3,2,2,1,15,4,4,4,3,2,1,1,1,0,15,4,4,3,3,2,1,1,1,0,1
CT00107,38,43,13,47,14,14,49,14,15,11,42,13,13,10,7,31,9,9,7,5,4,21,6,6,5,4,2,2,13,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,5,1,1,1,1,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0
CT00108,54,61,18,66,20,20,69,20,21,16,60,18,18,14,10,44,13,13,10,7,5,29,9,9,7,5,4,2,19,6,6,4,3,2,2,1,11,3,3,3,2,1,1,1,0,6,2,2,2,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00109,16,19,6,20,6,6,21,6,6,5,18,5,5,4,3,13,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00110,48,54,16,59,17,18,61,18,18,14,53,16,16,12,9,39,12,12,9,7,5,26,8,8,6,4,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,0,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00111,16,19,6,20,6,6,21,6,6,5,18,5,5,4,3,13,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00112,40,45,13,50,15,15,51,15,15,12,44,13,13,10,8,33,10,10,8,6,4,22,6,7,5,4,3,2,14,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,5,1,1,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
CT00113,169,193,57,210,62,62,218,64,65,51,188,56,56,44,32,139,41,41,32,24,16,93,27,28,22,16,11,8,59,17,18,14,10,7,5,4,35,10,10,8,6,4,3,2,1,20,6,6,5,3,2,2,1,1,1,20,6,6,5,3,2,2,1,1,1,1
CT00114,144,164,48,179,53,53,186,55,55,43,161,47,48,38,27,118,35,35,28,20,14,79,23,24,19,14,9,7,51,15,15,12,9,6,4,3,30,9,9,7,5,4,3,2,1,17,5,5,4,3,2,1,1,1,0,17,5,5,4,3,2,1,1,1,0,1
CT00115,102,116,34,126,37,38,131,39,39,31,113,33,34,26,19,83,25,25,19,14,10,56,17,17,13,10,7,5,36,11,11,8,6,4,3,2,21,6,6,5,4,3,2,1,1,12,4,4,3,2,1,1,1,1,0,12,4,4,3,2,1,1,1,1,0,0
CT00116,44,50,15,55,16,16,57,17,17,13,49,14,15,11,8,36,11,11,8,6,4,24,7,7,6,4,3,2,15,5,5,4,3,2,1,1,9,3,3,2,2,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,2,2,1,1,1,0,0,0,0,0
CT00117,145,165,49,180,53,53,187,55,56,44,161,48,48,38,27,119,35,35,28,20,14,80,24,24,19,14,9,7,51,15,15,12,9,6,4,3,30,9,9,7,5,4,3,2,1,17,5,5,4,3,2,1,1,1,0,17,5,5,4,3,2,1,1,1,0,1
CT00118,42,48,14,52,15,15,54,16,16,13,47,14,14,11,8,34,10,10,8,6,4,23,7,7,5,4,3,2,15,4,4,3,2,2,1,1,9,3,3,2,1,1,1,1,0,5,1,2,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
CT00119,7,8,2,9,3,3,9,3,3,2,8,2,2,2,1,6,2,2,1,1,1,4,1,1,1,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CT00120,49,56,16,61,18,18,63,19,19,15,55,16,16,13,9,40,12,12,9,7,5,27,8,8,6,5,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00121,69,78,23,85,25,25,88,26,26,21,76,23,23,18,13,56,17,17,13,10,7,38,11,11,9,6,4,3,24,7,7,6,4,3,2,1,14,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
CT00122,50,57,17,62,18,19,65,19,19,15,56,16,17,13,9,41,12,12,10,7,5,28,8,8,6,5,3,2,18,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00123,21,24,7,26,8,8,27,8,8,6,23,7,7,5,4,17,5,5,4,3,2,12,3,3,3,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
CT00124,143,163,48,177,52,53,184,54,55,43,159,47,47,37,27,117,35,35,27,20,14,79,23,23,18,13,9,7,50,15,15,12,9,6,4,3,30,9,9,7,5,4,3,2,1,17,5,5,4,3,2,1,1,1,0,17,5,5,4,3,2,1,1,1,0,1
CT00125,14,16,5,18,5,5,19,5,6,4,16,5,5,4,3,12,3,4,3,2,1,8,2,2,2,1,1,1,5,1,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00126,30,34,10,37,11,11,38,11,11,9,33,10,10,8,6,24,7,7,6,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00001,10,11,3,13,4,4,13,4,4,3,11,3,3,3,2,8,2,2,2,1,1,6,2,2,1,1,1,0,4,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00002,11,13,4,14,4,4,15,4,4,3,13,4,4,3,2,9,3,3,2,2,1,6,2,2,1,1,1,1,4,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00003,5,6,2,6,2,2,7,2,2,2,6,2,2,1,1,4,1,1,1,1,1,3,1,1,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00004,79,90,27,98,29,29,102,30,30,24,88,26,26,21,15,65,19,19,15,11,8,44,13,13,10,7,5,4,28,8,8,6,5,3,2,2,16,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
BR00005,1322,1504,444,1638,483,488,1703,502,507,398,1470,434,438,343,250,1082,319,322,253,184,129,727,215,216,170,124,87,62,462,136,138,108,79,55,39,27,274,81,81,64,47,33,23,16,11,159,47,47,37,27,19,13,9,7,4,156,46,46,36,27,19,13,9,7,4,6
BR00006,24,28,8,30,9,9,31,9,9,7,27,8,8,6,5,20,6,6,5,3,2,13,4,4,3,2,2,1,9,3,3,2,1,1,1,1,5,1,2,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00007,41,46,14,50,15,15,52,15,16,12,45,13,13,11,8,33,10,10,8,6,4,22,7,7,5,4,3,2,14,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,5,1,1,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
BR00008,72,81,24,89,26,26,92,27,27,22,80,23,24,19,14,59,17,17,14,10,7,39,12,12,9,7,5,3,25,7,7,6,4,3,2,1,15,4,4,3,3,2,1,1,1,9,3,3,2,1,1,1,1,0,0,8,2,3,2,1,1,1,0,0,0,0
BR00009,26,30,9,32,10,10,34,10,10,8,29,9,9,7,5,21,6,6,5,4,3,14,4,4,3,2,2,1,9,3,3,2,2,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00010,9,10,3,11,3,3,11,3,3,3,10,3,3,2,2,7,2,2,2,1,1,5,1,1,1,1,1,0,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00011,34,38,11,42,12,12,43,13,13,10,37,11,11,9,6,28,8,8,6,5,3,18,5,6,4,3,2,2,12,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00012,27,31,9,34,10,10,35,10,10,8,30,9,9,7,5,22,7,7,5,4,3,15,4,4,3,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00013,1104,1257,371,1369,404,407,1423,420,424,332,1228,362,366,287,209,904,267,269,211,154,108,608,179,181,142,103,72,52,386,114,115,90,66,46,33,23,229,67,68,53,39,27,19,14,10,133,39,40,31,23,16,11,8,6,4,130,38,39,30,22,15,11,8,5,3,5
BR00014,10,11,3,12,4,4,13,4,4,3,11,3,3,3,2,8,2,2,2,1,1,6,2,2,1,1,1,0,4,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00015,64,73,21,79,23,24,82,24,25,19,71,21,21,17,12,52,15,16,12,9,6,35,10,10,8,6,4,3,22,7,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
BR00016,33,38,11,41,12,12,43,13,13,10,37,11,11,9,6,27,8,8,6,5,3,18,5,5,4,3,2,2,12,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00017,142,161,48,176,52,52,183,54,54,43,158,47,47,37,27,116,34,35,27,20,14,78,23,23,18,13,9,7,50,15,15,12,8,6,4,3,29,9,9,7,5,3,2,2,1,17,5,5,4,3,2,1,1,1,0,17,5,5,4,3,2,1,1,1,0,1
BR00018,961,1094,323,1192,351,355,1239,365,369,289,1069,315,318,250,182,787,232,234,184,134,94,529,156,157,124,90,63,45,336,99,100,79,57,40,28,20,199,59,59,46,34,24,17,12,8,116,34,34,27,20,14,10,7,5,3,113,33,34,26,19,13,10,7,5,3,4
BR00019,23,26,8,28,8,8,29,9,9,7,25,8,8,6,4,19,6,6,4,3,2,13,4,4,3,2,1,1,8,2,2,2,1,1,1,0,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00020,15,17,5,18,5,5,19,6,6,4,16,5,5,4,3,12,4,4,3,2,1,8,2,2,2,1,1,1,5,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
BR00021,33,38,11,41,12,12,43,13,13,10,37,11,11,9,6,27,8,8,6,5,3,18,5,5,4,3,2,2,12,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00022,17,20,6,21,6,6,22,7,7,5,19,6,6,4,3,14,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
BR00023,74,84,25,91,27,27,95,28,28,22,82,24,24,19,14,60,18,18,14,10,7,40,12,12,9,7,5,3,26,8,8,6,4,3,2,2,15,4,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,1,1,1,1,0,0,0
BR00024,28,31,9,34,10,10,36,10,11,8,31,9,9,7,5,23,7,7,5,4,3,15,4,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00025,16,18,5,20,6,6,20,6,6,5,18,5,5,4,3,13,4,4,3,2,2,9,3,3,2,1,1,1,6,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
BR00026,176,200,59,218,64,65,226,67,67,53,195,58,58,46,33,144,42,43,34,24,17,97,29,29,23,16,12,8,61,18,18,14,10,7,5,4,36,11,11,8,6,4,3,2,2,21,6,6,5,4,3,2,1,1,1,21,6,6,5,4,2,2,1,1,1,1
BR00027,61,69,20,75,22,22,78,23,23,18,67,20,20,16,11,50,15,15,12,8,6,33,10,10,8,6,4,3,21,6,6,5,4,3,2,1,13,4,4,3,2,1,1,1,1,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
BR00028,32,37,11,40,12,12,42,12,12,10,36,11,11,8,6,26,8,8,6,4,3,18,5,5,4,3,2,2,11,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00029,82,93,27,101,30,30,105,31,31,25,91,27,27,21,15,67,20,20,16,11,8,45,13,13,11,8,5,4,29,8,9,7,5,3,2,2,17,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
BR00030,20,22,7,24,7,7,25,8,8,6,22,6,7,5,4,16,5,5,4,3,2,11,3,3,3,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00031,188,213,63,233,69,69,242,71,72,56,209,62,62,49,35,154,45,46,36,26,18,103,30,31,24,18,12,9,66,19,20,15,11,8,6,4,39,11,12,9,7,5,3,2,2,23,7,7,5,4,3,2,1,1,1,22,7,7,5,4,3,2,1,1,1,1
BR00032,5,6,2,7,2,2,7,2,2,2,6,2,2,1,1,4,1,1,1,1,1,3,1,1,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00033,148,169,50,184,54,55,191,56,57,45,165,49,49,39,28,121,36,36,28,21,14,82,24,24,19,14,10,7,52,15,15,12,9,6,4,3,31,9,9,7,5,4,3,2,1,18,5,5,4,3,2,2,1,1,0,17,5,5,4,3,2,1,1,1,0,1
BR00034,68,78,23,85,25,25,88,26,26,21,76,22,23,18,13,56,17,17,13,10,7,38,11,11,9,6,4,3,24,7,7,6,4,3,2,1,14,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
BR00035,36,41,12,45,13,13,47,14,14,11,40,12,12,9,7,30,9,9,7,5,4,20,6,6,5,3,2,2,13,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,4,1,1,1,1,1,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0
BR00036,19,22,6,24,7,7,25,7,7,6,21,6,6,5,4,16,5,5,4,3,2,11,3,3,2,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00037,251,286,84,311,92,93,324,96,96,76,279,82,83,65,48,206,61,61,48,35,24,138,41,41,32,24,16,12,88,26,26,21,15,10,7,5,52,15,15,12,9,6,4,3,2,30,9,9,7,5,4,3,2,1,1,30,9,9,7,5,4,3,2,1,1,1
BR00038,30,34,10,38,11,11,39,12,12,9,34,10,10,8,6,25,7,7,6,4,3,17,5,5,4,3,2,1,11,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00039,28,31,9,34,10,10,36,11,11,8,31,9,9,7,5,23,7,7,5,4,3,15,4,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00040,28,32,10,35,10,11,37,11,11,9,32,9,9,7,5,23,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00041,8,9,3,10,3,3,10,3,3,2,9,3,3,2,2,7,2,2,2,1,1,4,1,1,1,1,1,0,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00042,12,13,4,14,4,4,15,4,4,4,13,4,4,3,2,10,3,3,2,2,1,6,2,2,2,1,1,1,4,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BR00043,32,37,11,40,12,12,42,12,12,10,36,11,11,8,6,27,8,8,6,5,3,18,5,5,4,3,2,2,11,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00044,93,106,31,115,34,34,120,35,36,28,103,31,31,24,18,76,22,23,18,13,9,51,15,15,12,9,6,4,33,10,10,8,6,4,3,2,19,6,6,4,3,2,2,1,1,11,3,3,3,2,1,1,1,0,0,11,3,3,3,2,1,1,1,0,0,0
BR00045,62,70,21,77,23,23,80,24,24,19,69,20,20,16,12,51,15,15,12,9,6,34,10,10,8,6,4,3,22,6,6,5,4,3,2,1,13,4,4,3,2,2,1,1,1,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
BR00046,42,48,14,53,16,16,55,16,16,13,47,14,14,11,8,35,10,10,8,6,4,23,7,7,5,4,3,2,15,4,4,3,3,2,1,1,9,3,3,2,1,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
BR00047,127,145,43,158,47,47,164,48,49,38,141,42,42,33,24,104,31,31,24,18,12,70,21,21,16,12,8,6,44,13,13,10,8,5,4,3,26,8,8,6,4,3,2,2,1,15,5,5,4,3,2,1,1,1,0,15,4,4,4,3,2,1,1,1,0,1
BR00048,19,22,6,24,7,7,25,7,7,6,21,6,6,5,4,16,5,5,4,3,2,10,3,3,2,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00049,22,26,8,28,8,8,29,9,9,7,25,7,7,6,4,18,5,5,4,3,2,12,4,4,3,2,1,1,8,2,2,2,1,1,1,0,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00050,22,25,7,27,8,8,28,8,8,7,24,7,7,6,4,18,5,5,4,3,2,12,4,4,3,2,1,1,8,2,2,2,1,1,1,0,4,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00051,29,33,10,36,11,11,38,11,11,9,32,10,10,8,6,24,7,7,6,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00052,24,28,8,30,9,9,31,9,9,7,27,8,8,6,5,20,6,6,5,3,2,13,4,4,3,2,2,1,8,2,3,2,1,1,1,1,5,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
BR00053,183,209,62,227,67,68,236,70,70,55,204,60,61,48,35,150,44,45,35,26,18,101,30,30,24,17,12,9,64,19,19,15,11,8,5,4,38,11,11,9,6,5,3,2,2,22,7,7,5,4,3,2,1,1,1,22,6,6,5,4,3,2,1,1,1,1
BR00054,237,269,79,293,87,87,305,90,91,71,263,78,78,62,45,194,57,58,45,33,23,130,38,39,30,22,15,11,83,24,25,19,14,10,7,5,49,14,15,11,8,6,4,3,2,29,8,8,7,5,3,2,2,1,1,28,8,8,7,5,3,2,2,1,1,1
BR00055,232,264,78,288,85,86,299,88,89,70,258,76,77,60,44,190,56,57,44,32,23,128,38,38,30,22,15,11,81,24,24,19,14,10,7,5,48,14,14,11,8,6,4,3,2,28,8,8,7,5,3,2,2,1,1,27,8,8,6,5,3,2,2,1,1,1
BR00056,4,4,1,5,1,1,5,1,1,1,4,1,1,1,1,3,1,1,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR00057,152,173,51,189,56,56,196,58,58,46,170,50,50,40,29,125,37,37,29,21,15,84,25,25,20,14,10,7,53,16,16,12,9,6,5,3,32,9,9,7,5,4,3,2,1,18,5,5,4,3,2,2,1,1,0,18,5,5,4,3,2,2,1,1,0,1
BR00058,63,72,21,79,23,23,82,24,24,19,71,21,21,16,12,52,15,15,12,9,6,35,10,10,8,6,4,3,22,7,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
BR00059,188,214,63,233,69,69,242,71,72,57,209,62,62,49,36,154,45,46,36,26,18,103,31,31,24,18,12,9,66,19,20,15,11,8,6,4,39,11,12,9,7,5,3,2,2,23,7,7,5,4,3,2,1,1,1,22,7,7,5,4,3,2,1,1,1,1
BR00060,50,57,17,62,18,18,64,19,19,15,56,16,17,13,9,41,12,12,10,7,5,28,8,8,6,5,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,0,0,0,0,0
BR00061,18,21,6,23,7,7,24,7,7,6,20,6,6,5,3,15,4,4,4,3,2,10,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00062,33,38,11,41,12,12,43,13,13,10,37,11,11,9,6,27,8,8,6,5,3,18,5,5,4,3,2,2,12,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
BR00063,95,108,32,118,35,35,122,36,36,29,106,31,31,25,18,78,23,23,18,13,9,52,15,16,12,9,6,4,33,10,10,8,6,4,3,2,20,6,6,5,3,2,2,1,1,11,3,3,3,2,1,1,1,0,0,11,3,3,3,2,1,1,1,0,0,0
BR00064,25,29,8,31,9,9,32,10,10,8,28,8,8,7,5,21,6,6,5,3,2,14,4,4,3,2,2,1,9,3,3,2,1,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
BR00065,114,130,38,142,42,42,147,44,44,34,127,38,38,30,22,94,28,28,22,16,11,63,19,19,15,11,7,5,40,12,12,9,7,5,3,2,24,7,7,6,4,3,2,1,1,14,4,4,3,2,2,1,1,1,0,13,4,4,3,2,2,1,1,1,0,1
BR00066,18,21,6,23,7,7,24,7,7,6,20,6,6,5,3,15,4,4,4,3,2,10,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
BR00067,45,52,15,56,17,17,59,17,17,14,51,15,15,12,9,37,11,11,9,6,4,25,7,7,6,4,3,2,16,5,5,4,3,2,1,1,9,3,3,2,2,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,2,2,1,1,1,0,0,0,0,0
BR00068,17,20,6,22,6,6,22,7,7,5,19,6,6,5,3,14,4,4,3,2,2,10,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
BR00069,27,31,9,33,10,10,35,10,10,8,30,9,9,7,5,22,7,7,5,4,3,15,4,4,3,3,2,1,9,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
