school,county_borough,evidence,confidence,locality,town_district,notes
"Ngahape (17) and Tokanui (16)",West Taupo County,"small_cities: Tokanui, West Taupo, *259; Ngahape in same area",Medium,Ngahape,West Taupo,Tokanui and Tirohanga are half-time schools under this entry
"Ngapuke",Ohura County,"Post_offices: Manunui-Ngapuke mail service; Manunui near Taumarunui = Ohura County",Medium,Ngapuke,near Taumarunui,
"Ngararatunua",Waikato County,"KG: probable Waikato County area; grade 3A, 42 students",Low,Ngararatunua,,No direct source
"Ngarua",Piako County,"small_cities: Ngarua, Piako, 186",High,Ngarua,,
"Ngaruawahia",Ngaruawahia Borough,"coordinates_boroughs.csv: Ngaruawahia Borough",High,Ngaruawahia,,
"Ngataki",Mongonui County,"small_cities: Ngataki, Mongonui, 140",High,Ngataki,,
"Ngatea",Thames County,"small_cities: Ngatea, Thames, 159",High,Ngatea,Hauraki Plains,
"Ngongotaha",Rotorua County,"small_cities: Ngongotaha, Rotorua, 305",High,Ngongotaha,,
"Ngunguru",Whangarei County,"KG: Ngunguru on east coast near Whangarei; Whangarei County",High,Ngunguru,,
"Ngutunui",Kawhia County,"KG: Ngutunui near Kawhia; Kawhia County",Low,Ngutunui,near Kawhia,No direct source
"Northcote (517) and Side School (92)",Northcote Borough,"coordinates_boroughs.csv: Northcote Borough",High,Northcote,North Shore,
"Nukuhou",Opotiki County,"KG: Nukuhou near Opotiki; Opotiki County",Low,Nukuhou,near Opotiki,No direct source
"Ohaeawai",Bay of Islands County,"Polling: Bay of Islands ED lists Ohaeawai",High,Ohaeawai,,
"Ohauiti",Tauranga County,"KG: Ohauiti near Tauranga; Tauranga County",Medium,Ohauiti,,
"Ohaupo",Waipa County,"Polling: Waikato ED lists Ohaupo; near Te Awamutu = Waipa County",High,Ohaupo,,
"Ohinewai",Waikato County,"small_cities: Ohinewai, Waikato, 293",High,Ohinewai,,
"Okahu Nos.1 (13) and 2 (7)",Hobson County,"small_cities: Okahu, Hobson, 108",High,Okahu,Dargaville area,
"Okaihau",Bay of Islands County,"Polling: Bay of Islands ED lists Okaihau",High,Okaihau,,
"Okaihau No.2 (8) and Utakura Valley (13)",Bay of Islands County,"same area as Okaihau; Bay of Islands County",High,Okaihau,,Utakura Valley is half-time
"Okaihau East",Bay of Islands County,"same area as Okaihau; Bay of Islands County",High,Okaihau,,
"Okarea",Unresolved,"Grade 2, 18 students; no source",Unresolved,,,
"Okauia",Matamata County,"small_cities: Okauia, Matamata, 121",High,Okauia,,
"Okupu (11) and Tryphena (13)",Waitemata County,"KG: Okupu and Tryphena on Great Barrier Island; Waitemata County",High,Great Barrier Island,,Tryphena is half-time
"Omaha Little",Rodney County,"KG: Little Omaha near Warkworth; Rodney County",Medium,Little Omaha,,
"Omahine",Waikato County,"KG: probable Waikato County; grade 3A, 55 students",Low,Omahine,,No direct source
"Omana",Franklin County,"KG: Omana Beach near Maraetai/Beachlands = Franklin County",Low,Omana Beach,,
"Omanawa (8) and Omanawa Falls (18)",Tauranga County,"small_cities: Omanawa, Tauranga, 123",High,Omanawa,,Omanawa Falls is half-time
"Omapere",Hokianga County,"Polling: Bay of Islands ED lists Omapere; at Hokianga Harbour entrance",High,Omapere,,
"Omokoroa",Tauranga County,"KG: Omokoroa peninsula in Tauranga Harbour; Tauranga County",High,Omokoroa,,
"Onehunga",Onehunga Borough,"coordinates_boroughs.csv: Onehunga Borough",High,Onehunga,,
"Onerahi",Whangarei County,"Polling: Marsden (Whangarei) ED lists Onerahi",High,Onerahi,,
"Onewhero",Raglan County,"small_cities: Onewhero, Raglan, 285",High,Onewhero,,
"Oparau",Kawhia County,"small_cities: Oparau, Kawhia, 110",High,Oparau,,
"Opotiki",Opotiki Borough,"coordinates_boroughs.csv: Opotiki Borough",High,Opotiki,,
"Opouriao South",Whakatane County,"small_cities: Opouriao, Whakatane, 250",High,Opouriao,,
"Opua",Bay of Islands County,"Polling: Bay of Islands ED lists Opua (Morris's Store)",High,Opua,,
"Opuawhango (18) and Otonga (20)",Opotiki County,"KG: Opuawhango in Bay of Plenty/Opotiki area",Low,Opuawhango,,Otonga is half-time
"Oputeke",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Ora Ora",Unresolved,"Grade 0, 8 students; no source",Unresolved,,,
"Oratia",Waitemata County,"small_cities: Oratia, Waitemata, 193",High,Oratia,,
"Orere",Franklin County,"KG: Orere Point near Maraetai = Franklin County",Low,Orere Point,,
"Orini",Waikato County,"small_cities: Orini, Waikato, 198",High,Orini,,
"Oropi",Tauranga County,"small_cities: Oropi, Tauranga, 172",High,Oropi,,
"Oruaiti (14) and Upper Oruaiti (7)",Whangaroa County,"KG: Oruaiti near Whangaroa/Mangonui area; Whangaroa County",Medium,Oruaiti,,Upper Oruaiti is half-time
"Oruru",Mongonui County,"Polling: Bay of Islands ED lists Oruru (Peria Hall)",High,Oruru,,
"Ostend (5) and Te Huruhi (9)",Waitemata County,"KG: Ostend on Waiheke Island; Waitemata County",High,Waiheke Island,,Te Huruhi is half-time
"Otahuhu",Otahuhu Borough,"coordinates_boroughs.csv: Otahuhu Borough",High,Otahuhu,,
"Otaika",Whangarei County,"small_cities: Otaika, Whangarei, 316",High,Otaika,,
"Otaika Valley",Whangarei County,"same area as Otaika; Whangarei County",High,Otaika Valley,,
"Otamarakau",Tauranga County,"KG: Otamarakau near Maketu; Tauranga County",Medium,Otamarakau,,
"Otara",Opotiki County,"small_cities: Otara, Opotiki, 214",Medium,Otara,,SC entry; note: distinct from South Auckland Otara
"Otara East (19) and Tirohanga (17)",Opotiki County,"same area as Otara (Opotiki County)",Medium,Otara East,,Tirohanga is half-time
"Otaua",Franklin County,"small_cities: Otaua, Franklin, 346",High,Otaua,,
"Otewe",Waipa County,"KG: Otewe likely near Cambridge; Waipa County",Low,Otewe,,No direct source
"Otoroa",Unresolved,"Grade 1, 11 students; no source",Unresolved,,,
"Otorohanga",Waitomo County,"KG: Otorohanga in Waitomo County; not in coordinates_boroughs.csv",High,Otorohanga,,
"Otumoetai",Tauranga County,"small_cities: Otumoetai, Tauranga, 128",High,Otumoetai,,
"Oturoa",Rotorua County,"small_cities: Oturoa, Rotorua, 136",High,Oturoa,,
"Oue",Unresolved,"Grade 1, 15 students; no source",Unresolved,,,
"Owhiwha (13) and Taraunui (13)",Whakatane County,"KG: Owhiwha = Ohiwa near Whakatane Harbour; Whakatane County",Medium,Ohiwa,near Whakatane,Taraunui is half-time
"Paemako (25) and Wairiri Falls (15)",Waitomo County,"small_cities: Paemako, Waitomo, 110",High,Paemako,,Wairiri Falls is half-time
"Paengaroa",Tauranga County,"small_cities: Paengaroa, Tauranga, 238",High,Paengaroa,,
"Paerata Ridge",Franklin County,"small_cities: Paerata, Franklin, 146",High,Paerata,,
"Paeroa District High School - Primary (347) Secondary (18)",Paeroa Borough,"coordinates_boroughs.csv: Paeroa Borough",High,Paeroa,,
"Paiaka",Unresolved,"Grade 2, 21 students; no source",Unresolved,,,
"Pakanae",Hokianga County,"KG: Pakanae in Hokianga area; Hokianga County",Medium,Pakanae,,
"Pakaraka",Bay of Islands County,"Polling: Bay of Islands ED lists Pakaraka",High,Pakaraka,,
"Pakaru",Unresolved,"Grade 2, 25 students; no source",Unresolved,,,
"Pakautukua (8) and Port Charles (8)",Coromandel County,"KG: both on Coromandel Peninsula; Coromandel County",High,Coromandel Peninsula,,Port Charles is half-time
"Pakeho",Unresolved,"Grade 1, 16 students; no source",Unresolved,,,
"Pakiri",Rodney County,"Polling: Marsden ED lists Pakiri; Rodney County geography",High,Pakiri,,
"Pakotai",Hobson County,"KG: Pakotai near Dargaville; Hobson County area",Low,Pakotai,Dargaville area,No direct source
"Pakuranga",Manukau County,"small_cities: Pakuranga, Manukau, 249",High,Pakuranga,,
"Panmure",Eden County,"small_cities: Panmure, Eden, 400",High,Panmure,,
"Papakura",Manukau County,"KG: Papakura in South Auckland; not in coordinates_boroughs.csv despite Borough status from 1914",Medium,Papakura,,Papakura Borough likely omitted from CB file; assign Manukau County pending verification
"Papamoa No.1",Tauranga County,"small_cities: Papamoa, Tauranga, 210",High,Papamoa,,
"Papamoa No.2",Tauranga County,"small_cities: Papamoa, Tauranga, 210",High,Papamoa,,
"Paparata",Franklin County,"small_cities: Paparata, Franklin, 158",High,Paparata,,
"Paparoa",Otamatea County,"small_cities: Paparoa, Otamatea, 331",High,Paparoa,,
"Papatoetoe",Manukau County,"small_cities: Papatoitoi, Manukau, 1062 (same place)",High,Papatoetoe,,
"Paponga",Unresolved,"Grade 1, 12 students; no source",Unresolved,,,
"Paraheka (21) and Rotopitaka (16)",Unresolved,"Grade 2, 37 students; no gazetteer match",Unresolved,,,Rotopotaka is half-time
"Paranui (14) and Taipa(5)",Mongonui County,"KG: Taipa near Mangonui = Mongonui County; Paranui in same area",High,Taipa/Paranui,near Mangonui,Taipa is half-time
"Parenga",Mongonui County,"KG: Parenga in Far North near Mangonui area",Low,Parenga,,No direct source
"Parkhurst",Unresolved,"Grade 2, 28 students; no source",Unresolved,,,
"Parnell",Auckland Borough,"Large city school (614 avg.); Auckland central",High,Parnell,,
"Parua Bay Nos. 1 (23) and 2 (25)",Whangarei County,"small_cities: Parua Bay, Whangarei, 127",High,Parua Bay,,
"Paterangi",Waipa County,"small_cities: Paterangi, Waipa, 221",High,Paterangi,,
"Patetonga",Thames County,"KG: Patetonga on Hauraki Plains near Ngatea; Thames County",Medium,Patetonga,Hauraki Plains,
"Patumahoe",Franklin County,"small_cities: Patumahoe, Franklin, 328",High,Patumahoe,,
"Peria",Mongonui County,"small_cities: Peria, Mongonui, 133",High,Peria,,
"Piarere",Matamata County,"KG: Piarere near Cambridge/Matamata border; Matamata County",Low,Piarere,,No direct source
"Piha (6) and Whatipu (7)",Waitemata County,"small_cities: Piha, Waitemata, 137",High,Piha,west coast,Whatipu is half-time
"Piopio",Waitomo County,"small_cities: Piopio, Waitomo, 311",High,Piopio,,
"Pipiroa",Thames County,"small_cities: Pipiroa, Thames, 121",High,Pipiroa,,
"Point Chevalier",Eden County,"small_cities: Point Chevalier, Eden, 556",High,Point Chevalier,,
"Pokapu",Unresolved,"Grade 1, 21 students; no source",Unresolved,,,
"Pokeno",Franklin County,"small_cities: Pokeno, Franklin, 362",High,Pokeno,,
"Pollock",Franklin County,"Polling: Franklin ED lists Pollock Settlement",High,Pollock Settlement,,
"Ponga",Franklin County,"Polling: Franklin ED lists Ponga",High,Ponga,,
"Pongakawa",Tauranga County,"small_cities: Pongakawa, Tauranga, 150",High,Pongakawa,,
"Ponsonby",Auckland Borough,"Large city school (697 avg.); Auckland central",High,Ponsonby,,
"Ponui",Franklin County,"KG: Ponui Island in Firth of Thames; Franklin County",Low,Ponui Island,,Very small school (grade 0)
"Port Albert",Rodney County,"small_cities: Port Albert, Rodney, 266",High,Port Albert,,
"Puahue",Waitomo County,"KG: Puahue near Otorohanga; Waitomo County",Low,Puahue,,No direct source
"Puhoi",Rodney County,"small_cities: Puhoi, Rodney, 274",High,Puhoi,,
"Pukekapia",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Pukekaroro",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Pukekawa",Waikato County,"KG: Pukekawa on Waikato River near Meremere; Waikato County",Medium,Pukekawa,,
"Pukekohe District High School Primary (302) Secondary (61)",Pukekohe Borough,"coordinates_boroughs.csv: Pukekohe Borough",High,Pukekohe,,
"Pukekohe East",Franklin County,"KG: Pukekohe East in rural Franklin County surrounding Pukekohe Borough",High,Pukekohe East,,
"Pukemiro Colleries",Raglan County,"small_cities: Pukemiro, Raglan, 223",High,Pukemiro,,
"Pukerimu",Waipa County,"small_cities: Pukerimu, Waipa, 161",High,Pukerimu,,
"Puketapu",Unresolved,"Grade 0, 5 students; no clear Auckland ED match",Unresolved,,,
"Puketotara",Unresolved,"Grade 1, 8 students; no source",Unresolved,,,
"Puketurua",Matamata County,"small_cities: Puketurua, Matamata, 104",High,Puketurua,,
"Punakitere",Hokianga County,"KG: Punakitere near Rawene; Hokianga County",Medium,Punakitere,,
"Puni",Franklin County,"small_cities: Puni, Franklin, 293",High,Puni,,
"Purerua",Bay of Islands County,"Polling: Bay of Islands ED lists Purerua (Mountain's Store)",High,Purerua,,
"Puriri",Thames County,"small_cities: Puriri, Thames, 278",High,Puriri,,
"Puru",Unresolved,"Grade 2, 25 students; no source",Unresolved,,,
"Purua No.1",Whangarei County,"KG: Purua in Whangarei district; Whangarei County",Medium,Purua,,
"Putake (7) and Waitomo Caves (6)",Waitomo County,"KG: Waitomo Caves in Waitomo County; Putake same area",High,Waitomo,,Waitomo Caves is half-time
"Putaruru",Matamata County,"small_cities: Putaruru, Matamata, 308",High,Putaruru,,
"Raglan",Raglan County,"Polling: Raglan ED lists Courthouse Raglan; Raglan County",High,Raglan,,Not listed as Borough in CB
"Ramarama",Franklin County,"small_cities: Ramarama, Franklin, 252",High,Ramarama,,
"Rangiahua (24) and Upper Waihou (19)",Hokianga County,"small_cities: Rangiahua, Hokianga, 119",High,Rangiahua,,Upper Waihou is half-time
"Rangiaohia",Waipa County,"KG: Rangiaowhia near Te Awamutu; Waipa County",High,Rangiaowhia,near Te Awamutu,
"Rangiatea",Unresolved,"Grade 2, 21 students; no Auckland ED match",Unresolved,,,
"Rangiriri",Waikato County,"small_cities: Rangiriri, Waikato, 113",High,Rangiriri,,
"Rangitoto No.2",Waitemata County,"KG: probable Rangitoto Island area; Waitemata County",Low,Rangitoto Island,,
"Raupo",Otamatea County,"small_cities: Raupo, Otamatea, 138",High,Raupo,,
"Rawene",Hokianga County,"small_cities: Rawene, Hokianga, 327",High,Rawene,,
"Rawhia",Unresolved,"Grade 2, 17 students; no source",Unresolved,,,
"Red Hill",Hobson County,"small_cities: Redhill, Hobson, 151",Medium,Red Hill,Dargaville area,
"Rehia",Unresolved,"Grade 2, 21 students; no source",Unresolved,,,
"Remuera",Auckland Borough,"Large city school (658 avg.); Auckland central",High,Remuera,,
"Richmond Road Auckland",Auckland Borough,"Large city school (725 avg.); Auckland central",High,Auckland city,,
"Richmond West",Auckland Borough,"KG: Richmond West school in Auckland inner suburbs; medium school (215)",Medium,Richmond,,
"Riverhead",Waitemata County,"small_cities: Riverhead, Waitemata, 336",High,Riverhead,,
"Riverslea",Unresolved,"Grade 1, 22 students; no source",Unresolved,,,
"Rotokakahi (12) and Salt Springs (9)",Rotorua County,"KG: Rotokakahi (Lake Green) near Rotorua; Rotorua County",High,Rotokakahi,,Salt Springs is half-time
"Rotokauri",Waikato County,"KG: Rotokauri near Hamilton; Waikato County",Medium,Rotokauri,,
"Rotorangi",Waipa County,"small_cities: Rotorangi, Waipa, 146",High,Rotorangi,,
"Rotorua Island",Rotorua County,"KG: island on Lake Rotorua (Mokoia Island); Rotorua County",Low,Lake Rotorua,,Very small school (grade 1)
"Rotorua District High School Primary (344) secondary (19)",Rotorua Borough,"coordinates_boroughs.csv: Rotorua Borough",High,Rotorua,,
"Rototuna",Waikato County,"small_cities: Rototuna, Waikato, 193",High,Rototuna,,
"Ruakaka",Whangarei County,"small_cities: Ruakaka, Whangarei, 207",High,Ruakaka,,
"Ruakuri",Waitomo County,"KG: Ruakuri near Waitomo Caves; Waitomo County",Medium,Ruakuri,,
"Ruapuke",Unresolved,"Grade 1, 13 students; no Auckland ED source",Unresolved,,,
"Ruatangata East",Whangarei County,"Polling: Marsden (Whangarei) ED lists Ruatangata West; same area",High,Ruatangata,,
"Ruatangata West",Whangarei County,"small_cities: Ruatangata, Whangarei, 170",High,Ruatangata,,
"Ruawai",Otamatea County,"small_cities: Ruawai, Otamatea, 306",High,Ruawai,,
"Rukuhia",Waipa County,"small_cities: Rukuhia, Waipa, 258",High,Rukuhia,,
"Russell",Bay of Islands County,"small_cities: Russell, Bay of Islands, 220",High,Russell,,"Also from CB: Russell not listed as Borough"
"St. Heliers",Eden County,"small_cities: St. Heliers, Eden, 507",High,St. Heliers,,
"Silverdale",Waitemata County,"small_cities: Silverdale, Waitemata, 252",High,Silverdale,,
"Springdale",Unresolved,"Grade 3A, 58 students; no gazetteer match",Unresolved,,,
"Stanley Bay",Waitemata County,"KG: Stanley Bay on North Shore near Devonport; not in CB as separate Borough",Medium,Stanley Bay,North Shore,
"Swanson",Waitemata County,"small_cities: Swanson, Waitemata, 263",High,Swanson,,
"Tahaia",Waitomo County,"small_cities: Tahaia, Waitomo, 102",High,Tahaia,,
"Tahuna",Ohinemuri County,"small_cities: Tahuna, Ohinemuri, 205",High,Tahuna,,
"Taikawhana (10) and Umawere (13)",Unresolved,"Grade 1, 23 students; no gazetteer match",Unresolved,,,Umawere is half-time
"Tairua",Thames County,"small_cities: Tairua, Thames, 112",High,Tairua,,
"Taita",Unresolved,"Grade 1, 23 students; no clear Auckland ED match (Wellington Taita is different ED)",Unresolved,,,
"Takahue",Mongonui County,"KG: Takahue near Kaitaia; Mongonui County",Medium,Takahue,,
"Takapuna",Takapuna Borough,"coordinates_boroughs.csv: Takapuna Borough",High,Takapuna,North Shore,
"Takiri",Unresolved,"Grade 1, 18 students; no source",Unresolved,,,
"Tamahere",Waikato County,"small_cities: Tamahere, Waikato, 222",High,Tamahere,,
"Teneatua",Whakatane County,"small_cities: Taneatua, Whakatane, 388; file spells as Teneatua",High,Taneatua,,File has OCR/transcription error (Teneatua for Taneatua)
"Tangaihi",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Tangiteroria",Hobson County,"small_cities: Tangiteroria, Hobson, 107",High,Tangiteroria,,
"Tangitu",Ohura County,"Polling: Taumarunui ED lists Tangitu; Ohura County area",Medium,Tangitu,,
"Tangoao",Unresolved,"Grade 1, 16 students; no source",Unresolved,,,
"Tangowahine",Hobson County,"small_cities: Tangowahine, Hobson, 148",High,Tangowahine,,
"Tangowahine Valley",Hobson County,"same area as Tangowahine; Hobson County",High,Tangowahine Valley,,
"Taotaoroa No.1",Matamata County,"KG: Taotaoroa near Matamata; Matamata County",Medium,Taotaoroa,,
"Tapapa",Matamata County,"KG: Tapapa near Matamata; Matamata County",Medium,Tapapa,,
"Tapu",Thames County,"Polling: Thames ED lists Tapu",High,Tapu,Coromandel coast,
"Tapuhi",Bay of Islands County,"Polling: Bay of Islands ED lists Tapuhi",High,Tapuhi,,
"Taringamutu",West Taupo County,"small_cities: Taringamotu, West Taupo, 167",High,Taringamotu,,File spells as Taringamutu
"Tatarariki",Hobson County,"small_cities: Tatarariki, Hobson, 235",High,Tatarariki,,
"Tauhei No.1",Piako County,"small_cities: Tauhei, Piako, 243",High,Tauhei,,
"Tauhei No.2",Piako County,"small_cities: Tauhei, Piako, 243",High,Tauhei,,
"Tauhoa",Rodney County,"small_cities: Tauhoa, Rodney, 148",High,Tauhoa,,
"Taumarunui District High School Primary (281) Secondary (22)",Taumarunui Borough,"coordinates_boroughs.csv: Taumarunui Borough",High,Taumarunui,,
"Taupaki",Waitemata County,"KG: Taupaki near Kumeu; Waitemata County",High,Taupaki,,
"Taupiri",Waikato County,"small_cities: Taupiri, Waikato, 358",High,Taupiri,,
"Taupo",East Taupo County,"small_cities: Taupo, East Taupo, 103",High,Taupo,,
"Tauranga District High School Primary (349) Secondary (53)",Tauranga Borough,"coordinates_boroughs.csv: Tauranga Borough",High,Tauranga,,
"Tauraroa",Otamatea County,"KG: Tauraroa near Maungaturoto; Otamatea County",Medium,Tauraroa,,
"Tautari",West Taupo County,"small_cities: Tautari, West Taupo, 182",High,Tautari,,
"Tawhare",Waikato County,"small_cities: Tauwhare, Waikato, 257; file spells Tawhare",High,Tauwhare,,
"Te Akau",Raglan County,"KG: Te Akau near Raglan; Raglan County",Medium,Te Akau,,
"Te Aroha",Te Aroha Borough,"coordinates_boroughs.csv: Te Aroha Borough",High,Te Aroha,,
"Te Aroha West",Matamata County,"KG: Te Aroha West in rural Matamata County surrounding Te Aroha Borough",High,Te Aroha West,,
"Te Atatu",Waitemata County,"small_cities: Te Atatu, Waitemata, 179",High,Te Atatu,,
"Te Awamutu",Te Awamutu Borough,"coordinates_boroughs.csv: Te Awamutu Borough",High,Te Awamutu,,
"Te Hihi",Franklin County,"KG: Te Hihi near Waiuku; Franklin County",Medium,Te Hihi,,
"Te Hoe",Waikato County,"Polling: Waikato ED lists Te Hoe (Public Hall)",Medium,Te Hoe,,
"Te Karae",Unresolved,"Grade 1, 20 students; no source",Unresolved,,,
"Te Kopuru",Hobson County,"small_cities: Te Kopuru, Hobson, 637",High,Te Kopuru,,
"Te Koraha",Unresolved,"Grade 0, 4 students; no source",Unresolved,,,
"Te Kowhai",Waipa County,"KG: Te Kowhai near Hamilton; Waipa County",High,Te Kowhai,,
"Te Kuiti District High School Primary (417) Secondary (41)",Te Kuiti Borough,"coordinates_boroughs.csv: Te Kuiti Borough",High,Te Kuiti,,
"Te Mapara",Waitomo County,"small_cities: Te Mapara, Waitomo, 201",High,Te Mapara,,
"Te Mata",Raglan County,"small_cities: Te Mata, Raglan, 235",High,Te Mata,,
"Te Matai",Unresolved,"Grade 2, 23 students; no clear Auckland ED match",Unresolved,,,
"Te Mawhai",West Taupo County,"small_cities: Te Mawhai, West Taupo, 120",High,Te Mawhai,,
"Te Pahi",Unresolved,"Grade 0, 8 students; no source",Unresolved,,,
"Te Pahi No.2",Unresolved,"Grade 1, 13 students; no source",Unresolved,,,
"Te Pahu",Waipa County,"KG: Te Pahu near Whatawhata; Waipa County",Medium,Te Pahu,,
"Te Papapa",Eden County,"KG: Te Papapa near Onehunga; Eden County suburbs",Medium,Te Papapa,,Large school (331 avg.)
"Te Pu",Unresolved,"Grade 1, 21 students; no source",Unresolved,,,
"Te Pua",Hokianga County,"KG: Te Pua in Hokianga area; Hokianga County",Low,Te Pua,,No direct source
"Te Puke",Tauranga County,"KG: Te Puke in Bay of Plenty; Tauranga County",High,Te Puke,,
"Te Puke No.2",Tauranga County,"same area as Te Puke; Tauranga County",High,Te Puke,,
"Te Puna",Tauranga County,"KG: Te Puna near Tauranga; Tauranga County",Medium,Te Puna,,
"Te Rahu",Waitomo County,"KG: Te Rahu near Otorohanga; Waitomo County",Medium,Te Rahu,,
"Te Ranga",Unresolved,"Grade 1, 18 students; no clear source",Low,,,
"Te Rapa",Waipa County,"small_cities: Te Rapa, Waipa, 255",High,Te Rapa,,
"Te Rauamoa",Waitomo County,"Polling: Taumarunui ED lists Te Rauamoa; Waitomo County",Medium,Te Rauamoa,,
"Tererenga (10) and Whangapoua (11)",Coromandel County,"Polling: Thames ED lists Whangapoua; Coromandel Peninsula",High,Coromandel Peninsula,,Whangapoua is half-time
"Te Rore",Waipa County,"small_cities: Te Rore, Waipa, 128",High,Te Rore,,
"Te Uku",Raglan County,"KG: Te Uku near Raglan; Raglan County",Medium,Te Uku,,
"Te Werenga",Unresolved,"Grade 1, 11 students; no source",Unresolved,,,
"Thames Central",Thames Borough,"coordinates_boroughs.csv: Thames Borough",High,Thames,,
"Thames North",Thames County,"KG: north of Thames Borough; Thames County",Medium,Thames north,,
"Thames South",Thames Borough,"KG: southern school in Thames Borough",Medium,Thames,,
"Thornton",Whakatane County,"KG: Thornton near Whakatane; Whakatane County",Medium,Thornton,,
"Ti Point",Rodney County,"KG: Ti Point near Leigh on Rodney coast; Rodney County",Medium,Ti Point,,
"To Rangi",Unresolved,"Grade 1, 8 students; no source",Unresolved,,,
"Tirau",Matamata County,"small_cities: Tirau, Matamata, 235",High,Tirau,,
"Tiroa",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Titirangi",Waitemata County,"small_cities: Titirangi, Waitemata, 203",High,Titirangi,,
"Titoki (22) and Wharekohe (16)",Whangarei County,"small_cities: Titoki, Whangarei, 110",High,Titoki,,Wharekohe is half-time
"Toatoa",Opotiki County,"Polling: Bay of Plenty ED lists Toatoa (Post-office)",Medium,Toatoa,,
"Tokatoka",Otamatea County,"small_cities: Tokatoka, Otamatea, 106",High,Tokatoka,,
"Tokoroa",Matamata County,"Post_offices: Putaruru-Tokoroa mail service; near Putaruru = Matamata County",Medium,Tokoroa,near Putaruru,
"Tomarata",Rodney County,"KG: Tomarata near Wellsford; Rodney County",Medium,Tomarata,,
"Totara",Whangaroa County,"small_cities: Totara, Whangaroa, 133",High,Totara,,
"Tuakau",Franklin County,"KG: Tuakau on Waikato River; Franklin County",High,Tuakau,,Not in CB as Borough
"Tuhikaramea",Waikato County,"KG: Tuhikaramea near Hamilton; Waikato County",Medium,Tuhikaramea,,
"Turanga-o-moana",Unresolved,"Grade 2, 30 students; no source",Low,,,
"Turiwhiu",Unresolved,"Grade 1, 14 students; no source",Unresolved,,,
"Turua",Thames County,"small_cities: Turua, Thames, 187",High,Turua,,
"Tutekehua",Unresolved,"Grade 1, 13 students; no source",Unresolved,,,
"Upper Waiwera",Waitemata County,"small_cities: Waiwera, Waitemata, 213; same area",High,Upper Waiwera,,
"Victoria Valley",Mongonui County,"small_cities: Victoria Valley, Mongonui, 172",High,Victoria Valley,,
"Waharoa",Matamata County,"small_cities: Waharoa, Matamata, 258",High,Waharoa,,
"Waiare",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Waiaru",Unresolved,"Grade 1, 22 students; no source",Unresolved,,,
"Waiharara",Mongonui County,"small_cities: Waiharara, Mongonui, 107",High,Waiharara,,
"Waiheke Central",Waitemata County,"KG: Waiheke Island; Waitemata County",High,Waiheke Island,,
"Waihi District High School Primary (352) Secondary (49)",Waihi Borough,"coordinates_boroughs.csv: Waihi Borough",High,Waihi,,
"Waihi East",Waihi Borough,"KG: Waihi East school within Waihi Borough area",Medium,Waihi,,
"Waihi Plains",Ohinemuri County,"small_cities: Waihi Plains, Ohinemuri, 169",High,Waihi Plains,,
"Waihi South",Waihi Borough,"KG: Waihi South school within Waihi Borough area",Medium,Waihi,,
"Waihopo",Mongonui County,"small_cities: Waihopo, Mongonui, 270",High,Waihopo,,
"Waihou",Piako County,"small_cities: Waihou, Piako, 598",High,Waihou,,
"Waikiekie East (17) and Waikiekie West (29)",Whangarei County,"small_cities: Waikiekie, Whangarei, 190",High,Waikiekie,,
"Waikino",Ohinemuri County,"small_cities: Waikino, Ohinemuri, 779",High,Waikino,,
"Waikoukou",Unresolved,"Grade 1, 8 students; no source",Unresolved,,,
"Waikumete",Waitemata County,"small_cities: Waikumete, Waitemata, 441",High,Waikumete,,
"Waimai (6) and Waingaro (9)",Raglan County,"small_cities: Waingaro, Raglan, 138; same area",High,Waingaro,,Waingaro is half-time
"Waimamaku Valley",Hokianga County,"small_cities: Waimamaku, Hokianga, 174",High,Waimamaku Valley,,
"Waimana",Whakatane County,"small_cities: Waimana, Whakatane, 225",High,Waimana,,
"Waimate",Bay of Islands County,"Polling: Bay of Islands ED lists Waimate North; Waimate = Waimate North",High,Waimate North,,File uses short form Waimate for Waimate North
"Waimatenui",Bay of Islands County,"KG: near Waimate North; Bay of Islands County",Low,Waimate North,,
"Waingakau",Unresolved,"Grade 0, 9 students; no source",Unresolved,,,
"Waiomou",Unresolved,"Grade 2, 29 students; no source",Low,,,
"Waiorongomai",Piako County,"small_cities: Waiorongomai, Piako, 224",High,Waiorongomai,,
"Waiotahi Valley",Opotiki County,"small_cities: Waiotahi, Opotiki, 139; same area",High,Waiotahi Valley,,
"Waiotemarama (18) and Weke-weka (17)",Hokianga County,"Polling: Bay of Islands ED lists Waiotemarama",High,Waiotemarama,,Weke-weka is half-time
"Waipapa",Bay of Islands County,"KG: Waipapa near Kerikeri; Bay of Islands County",Medium,Waipapa,,
"Waipari (18) and Wharepuhunga (18)",Waipa County,"KG: Wharepuhunga near Kihikihi/Te Awamutu = Waipa County",Medium,Wharepuhunga,,Wharepuhunga is half-time
"Waipipi",Franklin County,"small_cities: Waipipi, Franklin, 257",High,Waipipi,,
