school,county_borough,evidence,confidence,locality,town_district,notes
"Southburn",Waimate County,"small_cities: Southburn, Waimate, 130",High,Southburn,,
"South Malvern",Malvern County,"KG: South Malvern in Malvern County",Medium,South Malvern,,
"South Beach",Grey County,"small_cities: South Beach, Grey, 158",High,South Beach,near Greymouth,
"Spencerville",Waimairi County,"KG: Spencerville north of Christchurch; Waimairi County",Medium,Spencerville,,
"Spotswood",Cheviot County,"small_cities: Spotswood, Cheviot, 150",High,Spotswood,,
"Spreydon",Spreydon Borough,"metropolitan_areas.csv: Spreydon Borough (pop. 4289)",High,Spreydon,,
"Springbank",Rangiora County,"KG: Springbank near Rangiora; Rangiora County",Low,Springbank,,
"Springbrook",Malvern County,"KG: Springbrook near Darfield; Malvern County",Low,Springbrook,,No direct source
"Springburn",Ashburton County,"small_cities: Springburn, Ashburton, 101",High,Springburn,,
"Springfield",Tawera County,"small_cities: Springfield, Tawera, 308",High,Springfield,,
"Springston",Springs County,"small_cities: Springston, Springs, 259",High,Springston,,
"Springston South",Springs County,"small_cities: Springston South, Springs, 393",High,Springston South,,
"Stafford",Westland County,"small_cities: Stafford, Westland, 104",High,Stafford,,
"Stillwater",Grey County,"KG: Stillwater near Greymouth; Grey County",High,Stillwater,,
"Summerhill",Levels County,"KG: Summerhill near Timaru; Levels County",Low,Summerhill,,No direct source
"Sumner",Sumner Borough,"coordinates_boroughs.csv: Sumner Borough",High,Sumner,,
"Sutherlands",Levels County,"small_cities: Sutherland's, Levels, 254",High,Sutherlands,,
"Swannanoa",Eyre County,"small_cities: Swannanoa, Eyre, 146",High,Swannanoa,,
"Swedes Mill",Grey County,"KG: Swedes Mill near Greymouth; Grey County",Low,Swedes Mill,,No direct source
"Sydenham",Christchurch City,"KG: Sydenham is suburb of Christchurch City; very large school (906)",High,Sydenham,,
"Tai Tapu",Halswell County,"small_cities: Tai Tapu, Halswell, 466",High,Tai Tapu,,
"Takamatua",Akaroa County,"small_cities: Takamatua, Akaroa, 119",High,Takamatua,,
"Taramakau",Grey County,"KG: Taramakau near Kumara; Grey County",Low,Taramakau,,
"Tawa",Grey County,"KG: Tawa near Greymouth area; Grey County",Low,Tawa,,No direct source
"Taylorville",Grey County,"KG: Taylorville near Greymouth; Grey County",High,Taylorville,,
"Te Awa",Westland County,"KG: Te Awa near Hokitika; Westland County",Low,Te Awa,,No direct source
"Teddington",Akaroa County,"Polling: Lyttelton ED lists Teddington; Banks Peninsula = Akaroa County",Medium,Teddington,,
"Te Kinga",Grey County,"small_cities: Te Kinga, Grey, 142",High,Te Kinga,,
"Te Moana",Geraldine County,"KG: Te Moana near Geraldine; Geraldine County",Low,Te Moana,,
"Templeton",Paparua County,"small_cities: Templeton, Paparua, 658",High,Templeton,,
"Temuka District High School Primary (330) Secondary (34)",Temuka Borough,"coordinates_boroughs.csv: Temuka Borough",High,Temuka,,
"Te Ngawai",Geraldine County,"KG: Te Ngawai near Temuka/Geraldine; Geraldine County",Low,Te Ngawai,,
"Te One",Chatham Islands,"KG: Te One on Chatham Island; Canterbury ED included Chathams",Medium,Te One,Chatham Islands,
"Te Pirita",Ashburton County,"KG: Te Pirita near Rakaia; Ashburton County",Low,Te Pirita,,
"Te Roto",Westland County,"KG: Te Roto on West Coast; Westland County",Low,Te Roto,,
"Teschmakers",Waimate County,"KG: Teschmakers near Waimate area; Waimate County",Low,Teschmakers,,
"The Peaks",Waipara County,"small_cities: The Peaks, Waipara, 117",High,The Peaks,,
"Timaru Main (735) and Timaru West (side school) (127)",Timaru Borough,"coordinates_boroughs.csv: Timaru Borough",High,Timaru,,Timaru West is side school
"Timaru South",Timaru Borough,"same area; Timaru Borough",High,Timaru,,
"Timaunga",Unresolved,"Grade 1, 16 students; no source",Unresolved,,,
"Tinwald",Ashburton Borough,"KG: Tinwald is suburb of Ashburton; Ashburton Borough",High,Ashburton,,
"Totara Flat",Grey County,"small_cities: Totara Flat, Grey, 115",High,Totara Flat,,
"Totara Valley",Levels County,"small_cities: Totara Valley, Levels, 176",High,Totara Valley,,
"Tuahiwi",Eyre County,"KG: Tuahiwi near Kaiapoi; Eyre County",Medium,Tuahiwi,,
"Tycho",Levels County,"small_cities: Tycho, Levels, 110",High,Tycho,,
"View Hill",Oxford County,"small_cities: View Hill, Oxford, 141",High,View Hill,,
"Waddington",Malvern County,"small_cities: Waddington, Malvern, 251",High,Waddington,,
"Waiau",Amuri County,"small_cities: Waiau, Amuri, 244",High,Waiau,,
"Waihao Downs",Waimate County,"small_cities: Waihao Downs, Waimate, 157",High,Waihao Downs,,
"Waihaorunga",Waimate County,"small_cities: Waihaorunga, Waimate, 157",High,Waihaorunga,,
"Waiho",Westland County,"KG: Waiho (Franz Josef area); Westland County",High,Waiho,Franz Josef area,
"Waikakahi",Waimate County,"KG: Waikakahi near Waimate; Waimate County",Low,Waikakahi,,
"Waikari",Waipara County,"small_cities: Waikari, Waipara, 438",High,Waikari,,
"Waikuku",Rangiora County,"small_cities: Waikuku, Rangiora, 205",High,Waikuku,,
"Waimataitai",Timaru Borough,"KG: Waimataitai is suburb of Timaru; Timaru Borough",High,Timaru,,Large school (588); clearly within Borough
"Waimate District High School Primary (458) Secondary (73)",Waimate Borough,"coordinates_boroughs.csv: Waimate Borough",High,Waimate,,
"Wainihinihi",Westland County,"KG: Wainihinihi near Hokitika; Westland County",High,Wainihinihi,,
"Wainui",Akaroa County,"KG: Wainui near Akaroa; Akaroa County",Low,Wainui,,
"Waipara",Waipara County,"small_cities: Waipara, Waipara, 176",High,Waipara,,
"Wairewa",Wairewa County,"coordinates_county.csv: Wairewa, Canterbury",High,Wairewa,,
"Waitahu",Inangahua County,"Polling: Grey ED lists Waitahu (Post-office Reefton); Inangahua County",High,Waitahu,near Reefton,
"Waitohi Flat",Geraldine County,"KG: Waitohi near Temuka; Geraldine County",Medium,Waitohi,,
"Waitohi Upper",Geraldine County,"same area as Waitohi Flat; Geraldine County",Medium,Waitohi Upper,,
"Waituna Creek",Ashburton County,"KG: Waituna Creek near Ashburton; Ashburton County",Low,Waituna Creek,,
"Wakanui",Ashburton County,"small_cities: Wakanui, Ashburton, 179",High,Wakanui,,
"Waltham",Christchurch City,"KG: Waltham is suburb of Christchurch City",High,Waltham,,
"Warren Estate",Unresolved,"Grade 1, 15 students; no source",Unresolved,,,
"Washdyke",Levels County,"small_cities: Washdyke, Levels, 417",High,Washdyke,,
"Wataroa",Westland County,"small_cities: Wataroa, Westland, 124",High,Wataroa,,
"Weedon's",Paparua County,"small_cities: Weedon's entry shows Paparua (OCR'd as Panama in source)",Medium,Weedon's,,SC county field appears OCR-corrupted
"Westbrook",Grey County,"KG: Westbrook near Greymouth; Grey County",Low,Westbrook,,
"Westerfield",Ashburton County,"small_cities: Westerfield, Ashburton, 236",High,Westerfield,,
"West Melton",Paparua County,"small_cities: West Melton, Paparua, 186",High,West Melton,,
"Wharenui",Riccarton Borough,"KG: Wharenui near Riccarton; Riccarton Borough",Medium,Wharenui,,
"Whiterock",Waimate County,"KG: Whiterock near Waimate; Waimate County",Low,Whiterock,,No direct source
"Willowbridge",Waimate County,"small_cities: Willowbridge, Waimate, 276",High,Willowbridge,,
"Willowby",Ashburton County,"small_cities: Willowby, Ashburton, 200",High,Willowby,,
"Winchester",Geraldine County,"small_cities: Winchester, Geraldine, 342",High,Winchester,,
"Winchmore",Ashburton County,"small_cities: Winchmore, Ashburton, 231",High,Winchmore,,
"Winslow",Ashburton County,"KG: Winslow near Ashburton; Ashburton County",Low,Winslow,,
"Woodbury",Geraldine County,"small_cities: Woodbury, Geraldine, 356",High,Woodbury,,
"Woodend",Rangiora County,"small_cities: Woodend, Rangiora, 429",High,Woodend,,
"Woodstock",Westland County,"small_cities: Woodstock, Westland, 154",High,Woodstock,,
"Woolston",Woolston Borough,"coordinates_boroughs.csv: Woolston Borough",High,Woolston,,
"Yaldhurst",Paparua County,"small_cities: Yaldhurst, Paparua, 278",High,Yaldhurst,,
