Centre.,County in which situated.,Population
Tamumu,Patangata,136
Taneatua,Whakatane,388
Tangihua,Whangarei,112
Tangiteroria,Hobson,107
Tangowahine,Hobson,148
Taonui,Oroua,265
Taoroa,Rangitikei,114
Tarangaturi,Southland,105
Tarata,Clifton,190
Taratahi,Wairarapa South,290
Tariki,Taranaki,505
Taringamotu,West Taupo,167
Tarras,Vincent,127
Taruheru,Cook,218
Tarurutangi,Taranaki,198
Tasman,Waimea,184
Tataraimaka,Taranaki,193
Tatarariki,Hobson,235
Tataunui,Piako,166
Taueru,Masterton,142
Tauhei,Piako,243
Tauherenikau,Featherston,178
Tauhoa,Rodney,148
Taupiri,Waikato,358
Taupo,East Taupo,103
Tautari,West Taupo,182
Tauwhare,Waikato,257
Tawa Flat,Makara,191
Tawai,Waimate,129
Tawaka,Featherston,272
Tawanui,Clutha,105
Tawhiti,Hawera,109
Tayforth,Waitotara,212
Te Araroa,Waiapu,280
Te Atatu,Waitemata,179
To Hana,Rodney,107
Te Hirau,Raglan,137
To Horo,Horowhenua,256
Te Houka,Clutha,124
Te Kapo,Mackenzie,119
Te Karaka,Waikohu,467
Te Kawa,West Taupo,135
Te Kinga,Grey,142
Te Kiri,Egmont,292
Te Kopuru,Hobson,637
To Kowhai,Waipa,289
To Mapara,Waitomo,201
Te Mata,Raglan,235
Te Mata,Hawke's Bay,334
Te Mawhai,West Taupo,120
Templeton,Paparua,658
Tengawai,Mackenzie,157
Te Oreore,Masterton,175
Te Papakuhu,Dannevirke,189
Te Poliue,Hawke's Bay,206
Te Poi,Matamata,152
Terakohe,Takaka,127
Te Rapa,Waipa,255
Te Rehunga,Dannevirke,406
Te Rore,Waipa,128
Te Roti,Eltham,273
Te Tua,Wallace,199
Te Waewae,Wallace,106
The Mount,Tauranga,142
The Peaks,Waipara,117
Thornbury,Wallace,304
Three Kings,Eden,258
Tihaka,Wallace,109
Tikokino,Waipawa,289
Tikorangi,Clifton,288
Timatanga,Marlborough,115
Tiniroto,Cook,171
Tinui,Castlepoint,191
Tirau,Matamata,235
Tiriraukawa,Rangitikei,126
Tisbury,Southland,155
Titirangi,Waitemata,203
Titoki,Whangarei,110
Ti-tree Point,Weber,103
Tokanui,West Taupo,*259
Tokanui,Southland,177
Tokaora,Hawera,110
Tokarahi,Waitaki,247
Tokatoka,Otamatea,106
Toko,Stratford,525
Tokoiti,Bruce,217
Tokomaru,Horowhenua,599
Tokomaru Bay,Waiapu,806
Tolaga Bay,Cook,381
Tongaporutu,Clifton,146
Totara,Whangaroa,133
Totara,Waitaki,268
Totara Flat,Grey,115
Totara Valley,Levels,176
Towai,Bay of Islands,132
Trentham,Hutt,592
Tuamarina,Marlborough,296
Tuapaki,Waitemata,203
Tuapeka Flat,Tuapeka,114
Tuapeka Mount,Tuapeka,121
Tuapeka West,Tuapeka,150
Tuatapere,Wallace,401
Tuparoa,Waiapu,130
Turakina,Rangitikei,100
Turakina Valley,Rangitikei,257
Turangarere,Wanganui,168
Turua,Thames,187
Tussock Creek,Southland,139
Tutaenui,Rangitikei,161
"Tutaenui, Upper",Rangitikei,214
Tuturau,Southland,349
Twyford,Hawke's Bay,162
Tycho,Levels,110
Umukuri,Waimea,289
Umutaoroa,Dannevirke,201
Umutoi,Pohangina,114
Upper Plain,Masterton,327
Upper Spring Creek,Marlborough,107
Urenui,Clifton,364
Uruti,Clifton,246
Utiku,Rangitikei,586
Utuwai,Pohangina.,112
Victoria Valley,Mongonui,172
View Hill,Oxford,141
Waddington,Malvern,251
Waerenga,Waikato,179
Waerengaahika,Cook,263
Waharoa,Matamata,258
Waianakarua,Waitaki,103
Waianiwa,Southland,304
Waiareka,Waitaki,136
Waiau,Franklin,180
Waiau,Amuri,244
Waihakeke,Wairarapa South,148
Waihaorunga,Waimato,157
Waiharara,Mongonui,107
Waihi Plains,Ohinemuri,169
Waihoanga,Horowhenua,120
Waihola,Bruce,222
Waihopo,Mongonui,270
Waihou,Piako,598
Wai-iti,Waimea,144
Waikaia,Southland,301
Waikaka,Southland,235
Waikaka Valley,Southland,309
Waikanae,Horowhenua,274
Waikari,Waipara,438
Waikawa,Southland,154
Waikeria,West Taupo,106
Waikiekie,Whangarei,190
Waikino,Ohinemuri,779
Waikiwi,Southland,583
Waikohu,Waikohu,155
Waikoikoi,Clutha,220
Waikuku,Rangiora,205
Waikumete,Waitemata,441
Waimahaka,Southland,159
Waimamaku,Hokianga,174
Waimana,Whakatane,225
Waimangaroa,Buller,287
Waimata,Cook,222
Waimataitai,Levels,253
Waimate North,Bay of Islands,127
Waimatua,Southland,103
Waimatuku,Wallace,235
Waimauku,Waitemata,217
Waimumu,Southland,228
Waingake,Cook,133
Waingaro,Raglan,138
Wainui,Akaroa,133
Wainuiomata,Hutt,169
Waioeka,Opotiki,221
Waiongona,Taranaki,213
Waiorongomai,Piako,224
Waiotahi,Opotiki,139
Waipahi,Clutha,186
Waipaoa,Waikohu,235
Waipara,Waipara,176
Waipiata,Maniototo,156
Waipipi,Franklin,257
Waipiro Bay,Waiapu,197
Waipu,Whangarei,328
Waipuku,Stratford,154
Wairau,Marlborough,112
Wairau Valley,Marlborough,182
Wairere,Otamatea,190
Wairio,Wallace,279
Wairuna,Clutha,193
Wairuna,Tuapeka,378
Waitahuna West,Bruce,151
Waitakerei,Waitemata,182
Waitaki South,Waitaki,108
Waitapu,Kiwitea,194
Waitapu,Takaka,128
Waitati,Waikouaiti,550
Waitekauri,Waitomo,105
Waiterimu,Waikato,105
Waitoa,Piako,454
Waitohi,Geraldine,236
Waitihu,Horowhenua,104
Waitotara,Pa tea,281
Waituhi,West Taupo,169
Waituna,Waimate,177
Waituna,Southland,118
Waiuta,Inangahua,511
Waiwera,Waitemata,213
Waiwera South,Clutha,304
Wakanui,Ashburton,179
Wakapuaka,Waimea,150
Wakarara,Waipawa,124
Wakari,Taieri,126
Wakefield,Waimea,776
Wallacetown,Southland,270
Wallingford,Patangata,137
Walton,Piako,320
Wangaehu,Rangitikei,222
Wangaehu,Masterton,100
Wanstead,Patangata,175
Ward,Awatere,277
Warea,Egmont,292
Warepa,Clutha,221
Warrington,Waikouaiti,203
Washdyke,Levels,417
Wataroa,Westland,124
Watershed Road,Oroua,111
Waterton,Ashburton,124
Watlington,Levels,199
Weber,Weber,207
Wedderburn,Maniototo,119
Weedon's,Panama,176
Wellsford,Rodney,153
Wendon,Southland,445
Wendonside,Southland,246
Weraroa,Horowhenua,640
Westerfield,Ashburton,236
Western Springs,Eden,152
Westmere,Waitotara,317
West Melton,Paparua,186
Weston,Waitaki,252
West Plains,Southland,309
Westshore,Hawke's Bay,490
Whakamara,Hawera,130
Whakapara,Whangarei,153
Whakapirau,Otamatea,143
Whakaronga,Kairanga,273
Whakatu,Hawke's Bay,111
Whangamomona,Whangamomona,284
Whangarata,Franklin,169
Whangaripo,Rodney,148
Whangaroa,Whangaroa,103
Wharehuia,Stratford,316
Wharekopae,Waikohu,108
Wharepoha,Thames,241
Whatatutu,Waikohu,222
Whataupoko,Cook,832
Whatawhata,Waipa,278
Whenuakura,Patea,430
Whetukura,Dannevirke,167
Whitecliffs,Malvern,183
Whiteman's Valley,Hutt,127
Whitford,Manukau,265
Whitianga,Coromandel,446
Wild Bush,Wallace,150
Willowbridge,Waimate,276
Willowby,Ashburton,200
Wimbledon,Weber,114
Winchester,Geraldine,342
Winchmore,Ashburton,231
Windsor,Waitaki,267
Wingatui,Taieri,184
Wiri,Manukau,155
Woodbury,Geraldine,356
Woodend,Rangiora,429
Woodend,Southland,198
Woodgrove,Waipara,222
Woodhill,Waitemata,103
Woodlands,Southland,432
Woodside,Taieri,175
Woodstock,Westland,154
Wrey's Bush,Wallace,193
Wright's Bush,Southland,127
Wyfie's Crossing,Taieri,129
Yaldhurst,Paparua,278
